year,market,plant_id,capacity,quantity,investment,post_1990,population,market_capacity,market_quantity,n_plants,market_population,competitors_capacity
1995,4,20,350,310,2,1,21319372,3334,2905,5,21319372,2984
1995,4,21,943,830,-2,1,21319372,3334,2905,5,21319372,2391
1996,4,17,196,175,0,1,21635084,3324,2889,5,21635084,3128
1996,4,18,584,519,-6,1,21635084,3324,2889,5,21635084,2740
1996,4,19,1261,1079,7,1,21635084,3324,2889,5,21635084,2063
1996,4,20,343,301,-7,1,21635084,3324,2889,5,21635084,2981
1996,4,21,940,815,-3,1,21635084,3324,2889,5,21635084,2384
1997,4,17,199,175,3,1,21955471,3234,2837,5,21955471,3035
1997,4,18,587,527,4,1,21955471,3234,2837,5,21955471,2647
1997,4,19,1247,1107,-14,1,21955471,3234,2837,5,21955471,1987
1997,4,20,265,227,-78,1,21955471,3234,2837,5,21955471,2969
1997,4,21,936,801,-4,1,21955471,3234,2837,5,21955471,2298
1998,4,17,200,179,1,1,22280602,3259,2848,5,22280602,3059
1998,4,18,589,528,1,1,22280602,3259,2848,5,22280602,2670
1998,4,19,1255,1074,8,1,22280602,3259,2848,5,22280602,2004
1998,4,20,265,235,0,1,22280602,3259,2848,5,22280602,2994
1998,4,21,950,832,13,1,22280602,3259,2848,5,22280602,2309
1980,5,22,1540,1337,0,0,8658259,3676,3208,4,8658259,2136
1980,5,23,447,391,0,0,8658259,3676,3208,4,8658259,3229
1980,5,24,636,552,0,0,8658259,3676,3208,4,8658259,3040
1980,5,25,1053,928,0,0,8658259,3676,3208,4,8658259,2623
1981,5,22,1566,1347,26,0,8771399,3705,3212,4,8771399,2139
1981,5,23,447,387,0,0,8771399,3705,3212,4,8771399,3258
1981,5,24,633,544,-3,0,8771399,3705,3212,4,8771399,3072
1981,5,25,1059,934,5,0,8771399,3705,3212,4,8771399,2646
1982,5,22,1545,1388,-21,0,8886017,3685,3230,4,8886017,2140
1982,5,23,447,389,0,0,8886017,3685,3230,4,8886017,3238
1982,5,24,631,546,-1,0,8886017,3685,3230,4,8886017,3054
1982,5,25,1062,907,3,0,8886017,3685,3230,4,8886017,2623
1983,5,22,1536,1334,-9,0,9002133,3696,3223,4,9002133,2160
1983,5,23,452,396,5,0,9002133,3696,3223,4,9002133,3244
1983,5,24,632,565,1,0,9002133,3696,3223,4,9002133,3064
1983,5,25,1076,928,15,0,9002133,3696,3223,4,9002133,2620
1984,5,22,1533,1379,-3,0,9119766,3692,3251,4,9119766,2159
1984,5,23,458,391,6,0,9119766,3692,3251,4,9119766,3234
1984,5,24,626,543,-6,0,9119766,3692,3251,4,9119766,3066
1984,5,25,1075,938,-1,0,9119766,3692,3251,4,9119766,2617
1985,5,22,1543,1315,10,0,9238936,3630,3138,4,9238936,2087
1985,5,23,457,404,-1,0,9238936,3630,3138,4,9238936,3173
1985,5,24,614,542,-13,0,9238936,3630,3138,4,9238936,3016
1985,5,25,1016,877,-59,0,9238936,3630,3138,4,9238936,2614
1986,5,22,1545,1329,3,0,9359664,3604,3159,4,9359664,2059
1986,5,23,452,396,-5,0,9359664,3604,3159,4,9359664,3152
1986,5,24,611,546,-2,0,9359664,3604,3159,4,9359664,2993
1986,5,25,996,888,-20,0,9359664,3604,3159,4,9359664,2608
1987,5,22,1525,1302,-21,0,9481969,3587,3103,4,9481969,2062
1987,5,23,451,390,-1,0,9481969,3587,3103,4,9481969,3136
1987,5,24,611,523,0,0,9481969,3587,3103,4,9481969,2976
1987,5,25,1000,888,3,0,9481969,3587,3103,4,9481969,2587
1988,5,22,1529,1369,5,0,9605872,3601,3149,4,9605872,2072
1988,5,23,447,383,-4,0,9605872,3601,3149,4,9605872,3154
1988,5,24,609,523,-2,0,9605872,3601,3149,4,9605872,2992
1988,5,25,1016,874,17,0,9605872,3601,3149,4,9605872,2585
1989,5,22,1546,1360,16,0,9731394,3611,3177,4,9731394,2065
1989,5,23,444,389,-2,0,9731394,3611,3177,4,9731394,3167
1989,5,24,608,523,-1,0,9731394,3611,3177,4,9731394,3003
1989,5,25,1013,905,-4,0,9731394,3611,3177,4,9731394,2598
1990,5,22,1647,1414,101,1,9858557,3730,3239,4,9858557,2083
1990,5,23,452,390,7,1,9858557,3730,3239,4,9858557,3278
1990,5,24,612,537,4,1,9858557,3730,3239,4,9858557,3118
1990,5,25,1019,898,7,1,9858557,3730,3239,4,9858557,2711
1991,5,22,1629,1440,-18,1,9987381,3723,3296,4,9987381,2094
1991,5,23,448,390,-3,1,9987381,3723,3296,4,9987381,3275
1991,5,24,616,553,4,1,9987381,3723,3296,4,9987381,3107
1991,5,25,1030,913,10,1,9987381,3723,3296,4,9987381,2693
1992,5,22,1642,1425,12,1,10117889,3738,3248,4,10117889,2096
1992,5,23,453,398,4,1,10117889,3738,3248,4,10117889,3285
1992,5,24,620,530,4,1,10117889,3738,3248,4,10117889,3118
1992,5,25,1023,895,-6,1,10117889,3738,3248,4,10117889,2715
1993,5,22,1653,1445,12,1,10250102,3708,3236,4,10250102,2055
1993,5,23,456,397,3,1,10250102,3708,3236,4,10250102,3252
1993,5,24,628,559,8,1,10250102,3708,3236,4,10250102,3080
1993,5,25,971,835,-52,1,10250102,3708,3236,4,10250102,2737
1994,5,22,1658,1417,4,1,10384043,3711,3188,4,10384043,2053
1994,5,23,452,389,-3,1,10384043,3711,3188,4,10384043,3259
1994,5,24,628,540,0,1,10384043,3711,3188,4,10384043,3083
1994,5,25,973,842,2,1,10384043,3711,3188,4,10384043,2738
1995,5,22,1633,1417,-25,1,10519734,3681,3211,4,10519734,2048
1995,5,23,453,388,0,1,10519734,3681,3211,4,10519734,3228
1995,5,24,629,556,1,1,10519734,3681,3211,4,10519734,3052
1995,5,25,966,850,-7,1,10519734,3681,3211,4,10519734,2715
1996,5,22,1783,1548,150,1,10657198,3724,3260,4,10657198,1941
1996,5,23,449,387,-4,1,10657198,3724,3260,4,10657198,3275
1996,5,24,626,548,-3,1,10657198,3724,3260,4,10657198,3098
1996,5,25,866,777,-100,1,10657198,3724,3260,4,10657198,2858
1997,5,22,1772,1557,-11,1,10796458,3729,3270,4,10796458,1957
1997,5,23,461,399,12,1,10796458,3729,3270,4,10796458,3268
1997,5,24,621,553,-5,1,10796458,3729,3270,4,10796458,3108
1997,5,25,875,761,9,1,10796458,3729,3270,4,10796458,2854
1998,5,22,1774,1585,2,1,10937538,3726,3297,4,10937538,1952
1998,5,23,464,415,3,1,10937538,3726,3297,4,10937538,3262
1998,5,24,627,553,5,1,10937538,3726,3297,4,10937538,3099
1998,5,25,861,744,-14,1,10937538,3726,3297,4,10937538,2865
1980,6,26,532,454,0,0,19201662,4941,4308,5,19201662,4409
1980,6,27,1089,977,0,0,19201662,4941,4308,5,19201662,3852
1980,6,28,762,659,0,0,19201662,4941,4308,5,19201662,4179
1980,6,29,1298,1118,0,0,19201662,4941,4308,5,19201662,3643
1980,6,30,1260,1100,0,0,19201662,4941,4308,5,19201662,3681
1981,6,26,533,460,0,0,19544528,4959,4399,5,19544528,4426
1981,6,27,1098,982,8,0,19544528,4959,4399,5,19544528,3861
1981,6,28,766,683,3,0,19544528,4959,4399,5,19544528,4193
1981,6,29,1316,1181,18,0,19544528,4959,4399,5,19544528,3643
1981,6,30,1246,1093,-14,0,19544528,4959,4399,5,19544528,3713
1982,6,26,544,474,276,0,19893516,4982,4311,5,19893516,4438
1982,6,27,1080,923,-18,0,19893516,4982,4311,5,19893516,3902
1982,6,28,767,676,2,0,19893516,4982,4311,5,19893516,4215
1982,6,29,1332,1161,15,0,19893516,4982,4311,5,19893516,3650
1982,6,30,1259,1077,13,0,19893516,4982,4311,5,19893516,3723
1983,6,26,545,489,1,0,20248736,4971,4317,5,20248736,4426
1983,6,27,1079,920,-1,0,20248736,4971,4317,5,20248736,3892
1983,6,28,761,648,-7,0,20248736,4971,4317,5,20248736,4210
1983,6,29,1334,1184,2,0,20248736,4971,4317,5,20248736,3637
1983,6,30,1252,1076,-7,0,20248736,4971,4317,5,20248736,3719
1984,6,26,594,522,50,0,20610298,5031,4432,5,20610298,4437
1984,6,27,1070,932,-9,0,20610298,5031,4432,5,20610298,3961
1984,6,28,754,676,-7,0,20610298,5031,4432,5,20610298,4277
1984,6,29,1356,1211,22,0,20610298,5031,4432,5,20610298,3675
1984,6,30,1257,1091,5,0,20610298,5031,4432,5,20610298,3774
1985,6,26,599,525,4,0,20978316,5031,4359,5,20978316,4432
1985,6,27,1078,931,8,0,20978316,5031,4359,5,20978316,3953
1985,6,28,762,677,8,0,20978316,5031,4359,5,20978316,4269
1985,6,29,1325,1134,-31,0,20978316,5031,4359,5,20978316,3706
1985,6,30,1267,1092,10,0,20978316,5031,4359,5,20978316,3764
1986,6,26,601,526,2,0,21352906,4935,4330,5,21352906,4334
1986,6,27,966,853,-112,0,21352906,4935,4330,5,21352906,3969
1986,6,28,762,661,-1,0,21352906,4935,4330,5,21352906,4173
1986,6,29,1313,1150,-12,0,21352906,4935,4330,5,21352906,3622
1986,6,30,1293,1140,26,0,21352906,4935,4330,5,21352906,3642
1987,6,26,608,533,7,0,21734185,4999,4336,5,21734185,4391
1987,6,27,986,847,21,0,21734185,4999,4336,5,21734185,4013
1987,6,28,763,679,1,0,21734185,4999,4336,5,21734185,4236
1987,6,29,1309,1127,-4,0,21734185,4999,4336,5,21734185,3690
1987,6,30,1333,1150,40,0,21734185,4999,4336,5,21734185,3666
1988,6,26,615,552,7,0,22122271,4998,4432,5,22122271,4383
1988,6,27,991,888,5,0,22122271,4998,4432,5,22122271,4007
1988,6,28,772,677,9,0,22122271,4998,4432,5,22122271,4226
1988,6,29,1299,1163,-10,0,22122271,4998,4432,5,22122271,3699
1988,6,30,1321,1152,-12,0,22122271,4998,4432,5,22122271,3677
1989,6,26,481,430,-134,0,22517288,4873,4290,5,22517288,4392
1989,6,27,991,873,0,0,22517288,4873,4290,5,22517288,3882
1989,6,28,764,681,-7,0,22517288,4873,4290,5,22517288,4109
1989,6,29,1297,1150,-2,0,22517288,4873,4290,5,22517288,3576
1989,6,30,1340,1156,19,0,22517288,4873,4290,5,22517288,3533
1990,6,26,471,419,-9,1,22919358,4833,4172,5,22919358,4362
1990,6,27,987,865,-4,1,22919358,4833,4172,5,22919358,3846
1990,6,28,748,640,-16,1,22919358,4833,4172,5,22919358,4085
1990,6,29,1291,1101,-7,1,22919358,4833,4172,5,22919358,3542
1990,6,30,1336,1147,-3,1,22919358,4833,4172,5,22919358,3497
1991,6,26,480,419,8,1,23328607,4924,4273,5,23328607,4444
1991,6,27,997,871,10,1,23328607,4924,4273,5,23328607,3927
1991,6,28,760,680,12,1,23328607,4924,4273,5,23328607,4164
1991,6,29,1309,1131,18,1,23328607,4924,4273,5,23328607,3615
1991,6,30,1378,1172,41,1,23328607,4924,4273,5,23328607,3546
1992,6,26,481,431,1,1,23745163,4974,4370,5,23745163,4493
1992,6,27,995,872,-2,1,23745163,4974,4370,5,23745163,3979
1992,6,28,763,680,3,1,23745163,4974,4370,5,23745163,4211
1992,6,29,1353,1167,45,1,23745163,4974,4370,5,23745163,3621
1992,6,30,1382,1220,5,1,23745163,4974,4370,5,23745163,3592
1993,6,26,486,435,6,1,24169158,4972,4349,5,24169158,4486
1993,6,27,988,852,-6,1,24169158,4972,4349,5,24169158,3984
1993,6,28,760,684,-3,1,24169158,4972,4349,5,24169158,4212
1993,6,29,1362,1166,9,1,24169158,4972,4349,5,24169158,3610
1993,6,30,1376,1212,-6,1,24169158,4972,4349,5,24169158,3596
1994,6,26,486,432,0,1,24600724,4989,4300,5,24600724,4503
1994,6,27,987,849,-1,1,24600724,4989,4300,5,24600724,4002
1994,6,28,767,659,6,1,24600724,4989,4300,5,24600724,4222
1994,6,29,1365,1182,3,1,24600724,4989,4300,5,24600724,3624
1994,6,30,1384,1178,8,1,24600724,4989,4300,5,24600724,3605
1995,6,26,499,442,13,1,25039996,4988,4371,5,25039996,4489
1995,6,27,997,887,10,1,25039996,4988,4371,5,25039996,3991
1995,6,28,751,644,-16,1,25039996,4988,4371,5,25039996,4237
1995,6,29,1357,1204,-8,1,25039996,4988,4371,5,25039996,3631
1995,6,30,1384,1194,0,1,25039996,4988,4371,5,25039996,3604
1996,6,26,494,440,-5,1,25487111,5202,4537,5,25487111,4708
1996,6,27,996,849,-1,1,25487111,5202,4537,5,25487111,4206
1996,6,28,955,859,204,1,25487111,5202,4537,5,25487111,4247
1996,6,29,1363,1196,6,1,25487111,5202,4537,5,25487111,3839
1996,6,30,1394,1193,10,1,25487111,5202,4537,5,25487111,3808
1997,6,26,494,435,0,1,25942210,5208,4498,5,25942210,4714
1997,6,27,988,846,-8,1,25942210,5208,4498,5,25942210,4220
1997,6,28,957,835,2,1,25942210,5208,4498,5,25942210,4251
1997,6,29,1366,1177,3,1,25942210,5208,4498,5,25942210,3842
1997,6,30,1403,1205,8,1,25942210,5208,4498,5,25942210,3805
1998,6,26,493,433,-1,1,26405435,5211,4540,5,26405435,4718
1998,6,27,996,854,8,1,26405435,5211,4540,5,26405435,4215
1998,6,28,961,822,5,1,26405435,5211,4540,5,26405435,4250
1998,6,29,1336,1157,-30,1,26405435,5211,4540,5,26405435,3875
1998,6,30,1425,1274,23,1,26405435,5211,4540,5,26405435,3786
1980,7,31,727,634,0,0,1705070,3836,3349,4,1705070,3109
1980,7,32,1323,1145,0,0,1705070,3836,3349,4,1705070,2513
1980,7,33,916,787,0,0,1705070,3836,3349,4,1705070,2920
1980,7,34,870,783,0,0,1705070,3836,3349,4,1705070,2966
1981,7,31,728,640,1,0,1738264,3823,3338,4,1738264,3095
1981,7,32,1318,1125,-4,0,1738264,3823,3338,4,1738264,2505
1981,7,33,916,805,1,0,1738264,3823,3338,4,1738264,2907
1981,7,34,861,768,-9,0,1738264,3823,3338,4,1738264,2962
1982,7,31,733,636,5,0,1772105,3778,3301,4,1772105,3045
1982,7,32,1296,1160,-22,0,1772105,3778,3301,4,1772105,2482
1982,7,33,903,769,-13,0,1772105,3778,3301,4,1772105,2875
1982,7,34,846,736,-15,0,1772105,3778,3301,4,1772105,2932
1983,7,31,741,639,8,0,1806604,3761,3268,4,1806604,3020
1983,7,32,1276,1110,-20,0,1806604,3761,3268,4,1806604,2485
1983,7,33,898,786,-5,0,1806604,3761,3268,4,1806604,2863
1983,7,34,846,733,1,0,1806604,3761,3268,4,1806604,2915
1984,7,31,739,652,-1,0,1841776,3752,3289,4,1841776,3013
1984,7,32,1276,1104,0,0,1841776,3752,3289,4,1841776,2476
1984,7,33,902,807,4,0,1841776,3752,3289,4,1841776,2850
1984,7,34,835,726,-11,0,1841776,3752,3289,4,1841776,2917
1985,7,31,746,653,6,0,1877631,3796,3314,4,1877631,3050
1985,7,32,1269,1115,-6,0,1877631,3796,3314,4,1877631,2527
1985,7,33,935,798,33,0,1877631,3796,3314,4,1877631,2861
1985,7,34,846,748,11,0,1877631,3796,3314,4,1877631,2950
1986,7,31,730,638,-16,0,1914185,3761,3325,4,1914185,3031
1986,7,32,1257,1127,-12,0,1914185,3761,3325,4,1914185,2504
1986,7,33,937,813,2,0,1914185,3761,3325,4,1914185,2824
1986,7,34,837,747,-9,0,1914185,3761,3325,4,1914185,2924
1987,7,31,726,629,-3,0,1951451,3775,3351,4,1951451,3049
1987,7,32,1271,1135,14,0,1951451,3775,3351,4,1951451,2504
1987,7,33,936,836,-1,0,1951451,3775,3351,4,1951451,2839
1987,7,34,842,751,5,0,1951451,3775,3351,4,1951451,2933
1988,7,31,719,637,-7,0,1989442,3776,3287,4,1989442,3057
1988,7,32,1288,1119,17,0,1989442,3776,3287,4,1989442,2488
1988,7,33,933,799,-4,0,1989442,3776,3287,4,1989442,2843
1988,7,34,836,732,-6,0,1989442,3776,3287,4,1989442,2940
1989,7,31,718,617,-1,0,2028172,3787,3313,4,2028172,3069
1989,7,32,1307,1164,19,0,2028172,3787,3313,4,2028172,2480
1989,7,33,941,805,8,0,2028172,3787,3313,4,2028172,2846
1989,7,34,821,727,-14,0,2028172,3787,3313,4,2028172,2966
1990,7,31,720,628,1,1,2067657,3820,3353,4,2067657,3100
1990,7,32,1314,1152,7,1,2067657,3820,3353,4,2067657,2506
1990,7,33,948,844,7,1,2067657,3820,3353,4,2067657,2872
1990,7,34,838,729,16,1,2067657,3820,3353,4,2067657,2982
1991,7,31,733,652,13,1,2107910,3790,3301,4,2107910,3057
1991,7,32,1288,1116,-25,1,2107910,3790,3301,4,2107910,2502
1991,7,33,948,829,1,1,2107910,3790,3301,4,2107910,2842
1991,7,34,821,704,-16,1,2107910,3790,3301,4,2107910,2969
1992,7,31,737,655,3,1,2148947,3777,3315,4,2148947,3040
1992,7,32,1267,1095,-22,1,2148947,3777,3315,4,2148947,2510
1992,7,33,946,825,-2,1,2148947,3777,3315,4,2148947,2831
1992,7,34,827,740,6,1,2148947,3777,3315,4,2148947,2950
1993,7,31,740,650,3,1,2190783,3779,3304,4,2190783,3039
1993,7,32,1267,1080,1,1,2190783,3779,3304,4,2190783,2512
1993,7,33,938,843,-7,1,2190783,3779,3304,4,2190783,2841
1993,7,34,834,731,7,1,2190783,3779,3304,4,2190783,2945
1994,7,31,734,647,-6,1,2233433,3751,3296,4,2233433,3017
1994,7,32,1257,1109,-11,1,2233433,3751,3296,4,2233433,2494
1994,7,33,931,805,-7,1,2233433,3751,3296,4,2233433,2820
1994,7,34,829,735,-5,1,2233433,3751,3296,4,2233433,2922
1995,7,31,725,627,-10,1,2276914,3741,3244,4,2276914,3016
1995,7,32,1249,1076,-8,1,2276914,3741,3244,4,2276914,2492
1995,7,33,937,808,6,1,2276914,3741,3244,4,2276914,2804
1995,7,34,830,733,2,1,2276914,3741,3244,4,2276914,2911
1996,7,31,719,630,-6,1,2321241,3709,3192,4,2321241,2990
1996,7,32,1255,1074,6,1,2321241,3709,3192,4,2321241,2454
1996,7,33,923,794,-14,1,2321241,3709,3192,4,2321241,2786
1996,7,34,812,694,-18,1,2321241,3709,3192,4,2321241,2897
1997,7,31,724,648,5,1,2366431,3717,3231,4,2366431,2993
1997,7,32,1233,1058,-25,1,2366431,3717,3231,4,2366431,2484
1997,7,33,944,815,21,1,2366431,3717,3231,4,2366431,2773
1997,7,34,816,710,4,1,2366431,3717,3231,4,2366431,2901
1998,7,31,746,639,22,1,2412501,3711,3223,4,2412501,2965
1998,7,32,1228,1054,-5,1,2412501,3711,3223,4,2412501,2483
1998,7,33,938,816,-6,1,2412501,3711,3223,4,2412501,2773
1998,7,34,799,714,-17,1,2412501,3711,3223,4,2412501,2912
1980,8,35,1215,1038,0,0,14543615,4376,3818,4,14543615,3161
1980,8,36,858,742,0,0,14543615,4376,3818,4,14543615,3518
1980,8,37,1360,1216,0,0,14543615,4376,3818,4,14543615,3016
1980,8,38,943,822,0,0,14543615,4376,3818,4,14543615,3433
1981,8,35,1212,1084,-3,0,14879094,4381,3840,4,14879094,3169
1981,8,36,859,762,0,0,14879094,4381,3840,4,14879094,3522
1981,8,37,1353,1165,-7,0,14879094,4381,3840,4,14879094,3028
1981,8,38,957,829,14,0,14879094,4381,3840,4,14879094,3424
1982,8,35,1221,1067,9,0,15222312,4392,3864,4,15222312,3171
1982,8,36,866,778,8,0,15222312,4392,3864,4,15222312,3526
1982,8,37,1354,1203,0,0,15222312,4392,3864,4,15222312,3038
1982,8,38,951,816,-6,0,15222312,4392,3864,4,15222312,3441
1983,8,35,1196,1063,-26,0,15573446,4339,3800,4,15573446,3143
1983,8,36,863,748,-3,0,15573446,4339,3800,4,15573446,3476
1983,8,37,1331,1173,-22,0,15573446,4339,3800,4,15573446,3008
1983,8,38,949,816,-2,0,15573446,4339,3800,4,15573446,3390
1984,8,35,1195,1047,-344,0,15932681,4355,3772,4,15932681,3160
1984,8,36,882,758,19,0,15932681,4355,3772,4,15932681,3473
1984,8,37,1327,1137,-4,0,15932681,4355,3772,4,15932681,3028
1984,8,38,951,830,1,0,15932681,4355,3772,4,15932681,3404
1985,8,35,1191,1068,-4,0,16300201,4301,3813,4,16300201,3110
1985,8,36,894,782,11,0,16300201,4301,3813,4,16300201,3407
1985,8,37,1327,1191,0,0,16300201,4301,3813,4,16300201,2974
1985,8,38,889,772,-62,0,16300201,4301,3813,4,16300201,3412
1986,8,35,1184,1062,-7,0,16676200,4288,3780,4,16676200,3104
1986,8,36,901,779,7,0,16676200,4288,3780,4,16676200,3387
1986,8,37,1316,1170,-10,0,16676200,4288,3780,4,16676200,2972
1986,8,38,887,769,-2,0,16676200,4288,3780,4,16676200,3401
1987,8,35,1190,1057,5,0,17060871,4316,3830,4,17060871,3126
1987,8,36,989,882,88,0,17060871,4316,3830,4,17060871,3327
1987,8,37,1241,1110,-75,0,17060871,4316,3830,4,17060871,3075
1987,8,38,896,781,10,0,17060871,4316,3830,4,17060871,3420
1988,8,35,1198,1029,8,0,17454416,4334,3766,4,17454416,3136
1988,8,36,993,874,4,0,17454416,4334,3766,4,17454416,3341
1988,8,37,1247,1098,6,0,17454416,4334,3766,4,17454416,3087
1988,8,38,896,765,0,0,17454416,4334,3766,4,17454416,3438
1989,8,35,1188,1044,-10,0,17857039,4340,3816,4,17857039,3152
1989,8,36,996,892,3,0,17857039,4340,3816,4,17857039,3344
1989,8,37,1264,1117,17,0,17857039,4340,3816,4,17857039,3076
1989,8,38,892,763,-4,0,17857039,4340,3816,4,17857039,3448
1990,8,35,1197,1026,9,1,18268949,4361,3759,4,18268949,3164
1990,8,36,994,849,-1,1,18268949,4361,3759,4,18268949,3367
1990,8,37,1286,1115,22,1,18268949,4361,3759,4,18268949,3075
1990,8,38,884,769,292,1,18268949,4361,3759,4,18268949,3477
1991,8,35,1193,1037,-4,1,18690361,4352,3785,4,18690361,3159
1991,8,36,987,868,-7,1,18690361,4352,3785,4,18690361,3365
1991,8,37,1291,1105,5,1,18690361,4352,3785,4,18690361,3061
1991,8,38,881,775,-4,1,18690361,4352,3785,4,18690361,3471
1992,8,35,1201,1057,9,1,19121493,4353,3793,4,19121493,3152
1992,8,36,977,844,-10,1,19121493,4353,3793,4,19121493,3376
1992,8,37,1306,1140,15,1,19121493,4353,3793,4,19121493,3047
1992,8,38,869,752,-12,1,19121493,4353,3793,4,19121493,3484
1993,8,35,1091,932,-111,1,19562571,4240,3664,4,19562571,3149
1993,8,36,1000,864,22,1,19562571,4240,3664,4,19562571,3240
1993,8,37,1293,1114,-13,1,19562571,4240,3664,4,19562571,2947
1993,8,38,856,754,-12,1,19562571,4240,3664,4,19562571,3384
1994,8,35,1095,959,4,1,20013823,4219,3697,4,20013823,3124
1994,8,36,996,873,-4,1,20013823,4219,3697,4,20013823,3223
1994,8,37,1266,1110,-27,1,20013823,4219,3697,4,20013823,2953
1994,8,38,862,755,6,1,20013823,4219,3697,4,20013823,3357
1995,8,35,1104,952,9,1,20475484,4142,3592,4,20475484,3038
1995,8,36,919,799,-77,1,20475484,4142,3592,4,20475484,3223
1995,8,37,1261,1073,-5,1,20475484,4142,3592,4,20475484,2881
1995,8,38,858,768,-4,1,20475484,4142,3592,4,20475484,3284
1996,8,35,1096,953,-8,1,20947794,4176,3649,4,20947794,3080
1996,8,36,1018,910,99,1,20947794,4176,3649,4,20947794,3158
1996,8,37,1247,1089,-14,1,20947794,4176,3649,4,20947794,2929
1996,8,38,815,697,-43,1,20947794,4176,3649,4,20947794,3361
1997,8,35,1090,959,-6,1,21430998,4061,3609,4,21430998,2971
1997,8,36,932,826,-86,1,21430998,4061,3609,4,21430998,3129
1997,8,37,1224,1100,-23,1,21430998,4061,3609,4,21430998,2837
1997,8,38,815,724,0,1,21430998,4061,3609,4,21430998,3246
1998,8,35,1090,961,0,1,21925350,3929,3460,4,21925350,2839
1998,8,36,907,782,-25,1,21925350,3929,3460,4,21925350,3022
1998,8,37,1239,1111,15,1,21925350,3929,3460,4,21925350,2690
1998,8,38,693,606,-122,1,21925350,3929,3460,4,21925350,3236
1980,9,39,1129,1007,0,0,2023335,3684,3227,4,2023335,2555
1980,9,40,973,837,0,0,2023335,3684,3227,4,2023335,2711
1980,9,41,501,448,0,0,2023335,3684,3227,4,2023335,3183
1980,9,42,1081,935,0,0,2023335,3684,3227,4,2023335,2603
1981,9,39,1114,952,-15,0,2059372,3706,3242,4,2059372,2592
1981,9,40,985,875,12,0,2059372,3706,3242,4,2059372,2721
1981,9,41,509,433,8,0,2059372,3706,3242,4,2059372,3197
1981,9,42,1098,982,17,0,2059372,3706,3242,4,2059372,2608
1982,9,39,1147,978,33,0,2096052,3747,3228,4,2096052,2600
1982,9,40,993,858,8,0,2096052,3747,3228,4,2096052,2754
1982,9,41,505,443,-5,0,2096052,3747,3228,4,2096052,3242
1982,9,42,1102,949,5,0,2096052,3747,3228,4,2096052,2645
1983,9,39,1138,971,-9,0,2133384,3735,3258,4,2133384,2597
1983,9,40,997,890,5,0,2133384,3735,3258,4,2133384,2738
1983,9,41,497,441,-8,0,2133384,3735,3258,4,2133384,3238
1983,9,42,1103,956,1,0,2133384,3735,3258,4,2133384,2632
1984,9,39,1129,980,-9,0,2171382,3715,3238,4,2171382,2586
1984,9,40,984,856,-13,0,2171382,3715,3238,4,2171382,2731
1984,9,41,496,422,-1,0,2171382,3715,3238,4,2171382,3219
1984,9,42,1106,980,2,0,2171382,3715,3238,4,2171382,2609
1985,9,39,1112,974,-17,0,2210056,3702,3227,4,2210056,2590
1985,9,40,990,843,6,0,2210056,3702,3227,4,2210056,2712
1985,9,41,496,437,0,0,2210056,3702,3227,4,2210056,3206
1985,9,42,1104,973,-2,0,2210056,3702,3227,4,2210056,2598
1986,9,39,1120,1001,8,0,2249419,3722,3306,4,2249419,2602
1986,9,40,996,882,6,0,2249419,3722,3306,4,2249419,2726
1986,9,41,492,430,-4,0,2249419,3722,3306,4,2249419,3230
1986,9,42,1114,993,10,0,2249419,3722,3306,4,2249419,2608
1987,9,39,1133,985,13,0,2289484,3724,3275,4,2289484,2591
1987,9,40,996,873,1,0,2289484,3724,3275,4,2289484,2728
1987,9,41,491,438,0,0,2289484,3724,3275,4,2289484,3233
1987,9,42,1104,979,-10,0,2289484,3724,3275,4,2289484,2620
1988,9,39,1147,1024,14,0,2330261,3747,3294,4,2330261,2600
1988,9,40,987,855,-9,0,2330261,3747,3294,4,2330261,2760
1988,9,41,498,437,6,0,2330261,3747,3294,4,2330261,3249
1988,9,42,1115,978,11,0,2330261,3747,3294,4,2330261,2632
1989,9,39,1145,977,-2,0,2371765,3740,3209,4,2371765,2595
1989,9,40,973,845,-15,0,2371765,3740,3209,4,2371765,2767
1989,9,41,496,423,-2,0,2371765,3740,3209,4,2371765,3244
1989,9,42,1126,964,11,0,2371765,3740,3209,4,2371765,2614
1990,9,39,1084,967,-61,1,2414009,3673,3244,4,2414009,2589
1990,9,40,988,873,15,1,2414009,3673,3244,4,2414009,2685
1990,9,41,480,423,-16,1,2414009,3673,3244,4,2414009,3193
1990,9,42,1121,981,-5,1,2414009,3673,3244,4,2414009,2552
1991,9,39,1071,942,-13,1,2457005,3609,3172,4,2457005,2538
1991,9,40,929,816,-59,1,2457005,3609,3172,4,2457005,2680
1991,9,41,480,427,1,1,2457005,3609,3172,4,2457005,3129
1991,9,42,1129,987,8,1,2457005,3609,3172,4,2457005,2480
1992,9,39,1062,931,-9,1,2500766,3583,3143,4,2500766,2521
1992,9,40,918,821,-10,1,2500766,3583,3143,4,2500766,2665
1992,9,41,481,418,1,1,2500766,3583,3143,4,2500766,3102
1992,9,42,1122,973,-7,1,2500766,3583,3143,4,2500766,2461
1993,9,39,1045,939,-17,1,2545307,3572,3128,4,2545307,2527
1993,9,40,917,817,-1,1,2545307,3572,3128,4,2545307,2655
1993,9,41,484,413,3,1,2545307,3572,3128,4,2545307,3088
1993,9,42,1126,959,4,1,2545307,3572,3128,4,2545307,2446
